,X0,X1,y
0,-9.726991759352828,2.721248797469301,7
1,-5.99625174205584,7.593801067417701,6
2,-9.952717160004369,2.473725267743601,7
3,-3.8454384345179218,2.4064868151132495,4
4,-6.735778145521892,-1.920447292788634,3
5,-8.597094617848411,-5.453525430857996,1
6,-7.667582132640915,3.441258024074194,7
7,-8.944637295289752,4.378475237424038,7
8,-1.9925373773627206,4.452011542069411,5
9,-8.77783812462248,-5.087140582756783,1
10,-7.028001041988607,7.13453399790082,6
11,-8.523864142644717,-7.20068028619255,2
12,-8.98951689274284,-6.969380532572503,1
13,-2.7274983608241348,1.1903012155569535,4
14,-10.579904941779434,-3.6265355682441496,1
15,0.08687518327945298,3.631419581769727,0
16,-4.8149385335625565,7.26600183824577,6
17,-5.99766927188543,-2.9385051520655825,3
18,-6.1090055362932585,-7.891826069083825,2
19,-5.677588896017157,6.077941649669267,6
20,-6.0279425013609105,-2.7473964120636705,3
21,-7.810526233327972,-8.105177397957581,2
22,-5.503460480199708,-2.105146816923326,3
23,-2.7086276511171357,4.7231487639998155,0
24,-1.5894007866984101,2.8493364013978018,5
25,-1.834010012723836,-0.0782462314668746,4
26,-9.911363574418836,3.6714088962414015,7
27,-2.703251189032456,2.326816655754502,4
28,-2.627554575677741,-0.10341152420111976,4
29,-5.680960772328434,7.179786302879453,6
30,-5.296468229843756,-3.3107543588496497,3
31,-7.767438355851422,-4.50210937651559,1
32,-5.967306569796327,-3.1787438916603064,3
33,-8.863023281019208,1.8739795416666472,7
34,-4.849038847809821,-7.32675154755561,2
35,-0.8576988740771748,4.453057167267307,0
36,-1.7306161081004947,0.9693936473077269,4
37,-1.6038215309768562,1.0733612792366567,4
38,-10.324457055034859,-1.1260487533035546,1
39,-6.309006572539192,-3.370284779689729,3
40,-9.242320474462247,-3.2523664258399605,1
41,-11.406921780125293,-2.8226231928340737,1
42,0.25291186830545964,4.694654026326009,5
43,-6.074657285476167,8.5711615820881,6
44,-1.6658191350897493,3.7841795167552323,5
45,-0.48020866906002335,4.420722295804892,5
46,-9.000924483970437,3.657009949081643,7
47,-8.489743085312105,-9.05667083098354,2
48,-7.113473180221118,-4.2978859177805635,3
49,-6.353592347715079,8.243002418206673,6
50,-2.553734891330258,1.3550393532644682,4
51,-3.5818922496194747,1.0289660328103265,4
52,-2.3599584108697744,4.203095419878603,0
53,-1.705426592018287,4.187756409875452,0
54,0.19786488278304049,2.8471752787829185,5
55,-4.934523862117277,-4.725259470084306,3
56,-11.229208771927983,2.8190005378225598,7
57,-5.657471588999851,-8.239241617717182,2
58,-1.4168904648667249,4.608320047717165,0
59,-5.54358267239085,6.0216039697204735,6
60,-10.365833441383028,3.415594345638117,7
61,-2.8554214162730016,6.912470154161834,0
62,-11.158155697522538,-2.43025183343522,1
63,-3.5385584657672524,7.463411775282927,6
64,-5.152813437120643,-8.28357003690605,2
65,-4.956133753659112,-6.539666553531759,2
66,-8.425861957562294,-8.50023805373563,2
67,-1.8818880485588787,4.205731799913164,0
68,-3.2767654968622315,0.37758138047305384,4
69,-8.668643784153833,3.1661102117616435,7
70,-10.085956807350625,3.007270191159148,7
71,-0.757969185355724,4.908984207745029,0
72,-6.417507067806333,-6.766402510683001,2
73,-10.132617661746313,2.7218009715813887,7
74,-6.080922972671762,8.331899740786334,6
75,0.5260155005846419,3.009993533355024,0
76,-1.6761350340776158,0.8068566458904783,4
77,-2.8418258373318332,1.7707696824230457,4
78,-5.870727667298864,-2.5763513123333657,3
79,-8.17984968785324,-9.455187130640008,2
80,-10.887043417627616,-3.8320935936596263,1
81,0.24509880239246162,5.517546567403667,0
82,-9.191799196314511,-4.17290071445737,1
83,-3.872955730873686,-0.9480989874097496,4
84,-6.551517248044558,-7.288726401101483,2
85,-2.385157025082947,3.538721191219571,0
86,-9.684577907725588,3.407311419059611,7
87,-1.8513954583101344,3.5188609047583252,0
88,-1.410760744560749,4.109848716472299,0
89,-0.5605635732013403,3.5048553783671634,0
90,-5.4960618469280265,5.466690880921599,6
91,-8.869961158702871,-3.903055308336156,1
92,-4.89668750564502,7.48163449493336,6
93,-6.837624816882166,-4.340284862679107,3
94,-8.36822138606767,2.137871797609904,7
95,-6.220529206299813,7.126822319703116,6
96,-5.428767061497786,-7.726169567449865,2
97,-6.1452473637769645,6.470958635965703,6
98,-9.240384379356039,-4.026240792575081,1
99,-7.418991067217429,-8.00064661450255,2
100,-9.462579475481508,5.279846725576219,7
101,-5.693557500725674,-4.279436692699921,3
102,-5.340400398464732,-4.1717630648508495,3
103,-3.922692224956055,4.69652426906878,5
104,-8.964261700388864,-4.099621821974559,1
105,1.661518850221845,3.8062645384658467,0
106,-4.367889795608421,8.944135627833823,6
107,-6.550276855411307,-1.9497321636386282,3
108,-6.448862649518649,6.3452676854505246,6
109,-6.411433970948408,8.452935045156776,6
110,-6.978410748303073,-3.881930774233697,3
111,-2.5623905406919985,3.802561925365109,5
112,-6.415908577637689,-8.73907185199766,2
113,-7.201520283364517,-9.51709612924448,2
114,-2.168532183771381,4.240003913957202,0
115,-7.650403930435452,-6.665086537850969,2
116,0.37540553803179444,5.0040191908091405,5
117,-9.345532867838074,-4.184833377734034,1
118,-9.094827252843027,-7.54528151853491,2
119,-6.1806226146,-4.138145780765761,3
120,-9.664597953181602,-5.985888336184792,1
121,-9.414583457000095,5.448178087885189,7
122,-6.008937888091775,7.394522862501666,6
123,-7.432964769969727,6.8289753198054415,6
124,-7.575269555372562,-2.5876290681414424,3
125,-2.8329346450448174,3.5354868656657015,5
126,-1.9886114552896004,5.753595333513659,0
127,-10.532186725198345,4.337290003893457,7
128,-4.26419095929371,7.708746003596549,6
129,-11.350646945011015,3.0858856855398846,7
130,-6.710221697261819,-8.949293354119373,2
